itrdb_species_code,species_name,scientific_aliases,common_names,phylogenetic_group,leaf_habit,tree_ring_structure
PIMZ,Pinus montezumae Lamb.,[],"[""Montezuma pine""]",gymnosperm,evergreen,non-porous
PIMC,Pinus monticola Dougl. ex D. Don in Lamb.,[],"[""western white pine""]",gymnosperm,evergreen,non-porous
PIMU,Pinus mughus Scop.,"[""Pinus mugo Turra""]","[""krummholz pine""]",gymnosperm,evergreen,non-porous
PIMG,Pinus mugo Turra,"[""Pinus montana Mill.""]","[""mountain pine"", ""stone pine""]",gymnosperm,evergreen,non-porous
PIMR,Pinus muricata D.Don,[],"[""bishop pine""]",gymnosperm,evergreen,non-porous
PINI,Pinus nigra J.F. Arnold,[],"[""Austrian pine"", ""black pine""]",gymnosperm,evergreen,non-porous
PIOC,Pinus occidentalis Swartz,[],"[""West Indian pine""]",gymnosperm,evergreen,non-porous
PIOO,Pinus oocarpa Schiede,[],[],gymnosperm,evergreen,non-porous
PIPL,Pinus pallasiana,"[""Pinus nigra""]",[],,,
PIPA,Pinus palustris Mill.,[],"[""longleaf pine""]",gymnosperm,evergreen,non-porous
PIPT,Pinus patula Schiede & Deppe,[],"[""Mexican weeping pine""]",gymnosperm,evergreen,non-porous
PIPE,Pinus peuce Griseb.,[],"[""Macedonian pine"", ""Balkan pine""]",gymnosperm,evergreen,non-porous
PIPI,Pinus pinaster Aiton,[],"[""maritime pine"", ""cluster pine""]",gymnosperm,evergreen,non-porous
PIPN,Pinus pinea L.,[],"[""Italian stone pine"", ""umbrella pine""]",gymnosperm,evergreen,non-porous
PIPO,Pinus ponderosa Douglas ex C. Lawson,[],"[""ponderosa pine"", ""western yellow pine""]",gymnosperm,evergreen,non-porous
PIPS,Pinus pseudostrobus Lindl.,[],"[""False white pine"", ""False Weymouth pine"", ""Nicaraguan pine""]",,,
PIPM,Pinus pumila (Pall.) Regel,[],"[""dwarf Siberian pine"", ""Japanese stone pine""]",gymnosperm,evergreen,non-porous
PIPU,Pinus pungens Lamb.,[],"[""Table Mountain pine""]",gymnosperm,evergreen,non-porous
PIQU,Pinus quadrifolia Parl. ex Sudw.,[],"[""Parry pinyon""]",gymnosperm,evergreen,non-porous
PIRA,Pinus radiata D. Don,[],"[""Monterrey pine""]",gymnosperm,evergreen,non-porous
PIRE,Pinus resinosa Aiton,[],"[""red pine""]",gymnosperm,evergreen,non-porous
PIRI,Pinus rigida Mill.,[],"[""pitch pine""]",gymnosperm,evergreen,non-porous
PIRO,Pinus roxburghii Sarg.,"[""Pinus longifolia Roxb.""]","[""chir pine""]",gymnosperm,evergreen,non-porous
PISI,Pinus sibirica Du Tour,[],"[""Siberian stone pine""]",gymnosperm,evergreen,non-porous
PISP,Pinus spp. L.,[],"[""pine""]",gymnosperm,evergreen,non-porous
PISF,Pinus strobiformis Engelm.,[],"[""southwestern white pine""]",gymnosperm,evergreen,non-porous
PIST,Pinus strobus L.,[],"[""eastern white pine"", ""Weymouth pine""]",gymnosperm,evergreen,non-porous
PISY,Pinus sylvestris L.,[],"[""Scots pine"", ""Scotch pine""]",gymnosperm,evergreen,non-porous
PITB,Pinus tabulaeformis Carr.,[],"[""Chinese pine""]",gymnosperm,evergreen,non-porous
PITA,Pinus taeda L.,[],"[""loblolly pine""]",gymnosperm,evergreen,non-porous
PITW,Pinus taiwanensis Hayata,[],"[""Taiwan pine""]",,,
PITE,Pinus teocote Cham. & Schltdl.,[],"[""Aztec pine"", ""Mexican smallcone pine"", ""Twisted-leaved""]",,,
PITH,Pinus thunbergii Parl.,[],"[""Japanese black pine""]",gymnosperm,evergreen,non-porous
PITO,Pinus torreyana Parry ex Carrière,[],"[""Torrey Pine""]",gymnosperm,evergreen,non-porous
PIUN,Pinus uncinata Mill. ex Mirb.,[],"[""mountain pine""]",gymnosperm,evergreen,non-porous
PIVI,Pinus virginiana Mill.,[],"[""Virginia pine"", ""scrub pine""]",gymnosperm,evergreen,non-porous
PIWA,Pinus wallichiana A.B. Jacks.,[],"[""Himalayan pine"", ""kail pine"", ""blue pine""]",gymnosperm,evergreen,non-porous
PIYU,Pinus yunnanensis Franch.,[],"[""Yunnan Pine""]",,,
PSGR,Pisonia grandis,[],[],,,
PTAT,Pistacia atlantica Desf.,[],"[""Atlas pistache"", ""betoum""]",,,
PTKH,Pistacia khinjuk,[],[],,,
PTLE,Pistacia lentiscus  L.,[],"[""mastic tree""]",,,
PTPA,Pistacia palaestina,[],[],,,
PTSP,Pistacia spp. L.,[],"[""pistache""]",,,
PTVE,Pistacia vera L.,[],[],,,
PLAC,Platanus acerifolia (Ait.) Willd.,[],"[""London plane tree""]",,,
PLOC,Platanus occidentalis L.,[],"[""American sycamore""]",,,
PLRA,Platanus racemosa Nutt.,[],"[""California sycamore""]",,,
PLIN,Platonia insignis Mart.,[],"[""parcouri""]",,,
PLOR,Platyeladus orientalis,[],"[""Chinese pine""]",,,
POFA,Podocarpus falcatus (Thumb.) Br.,[],"[""yellowwood"", ""oteniqua""]",,,
POFE,Podocarpus ferruginens,"[""Prumnopitys ferruginea""]",[],,,
POHA,Podocarpus hallii,[],[],,,
POLA,Podocarpus lawrencei Hook. f.,[],"[""Tasmanian podocarpus""]",,,
PONE,Podocarpus neriifolius D.Don,[],"[""thitmin""]",,,
PONI,Podocarpus nivalis,[],[],,,
PONU,Podocarpus nubigensus Lindl. ex Paxt,[],"[""manio de hojas punzantes"", ""manio macho""]",,,
POPA,Podocarpus parlatorei,[],[],,,
POSC,Podocarpus spicatus,"[""Prumnopitys taxifolia""]",[],,,
POSP,Podocarpus spp. L'Heritier ex Persoon,[],[],,,
POTO,Podocarpus totara G. Benn. ex D. Don,[],"[""totara""]",,,
POTA,Polylepis tarapacana Phil.,[],"[""Que\u00f1oa""]",,,
PYSA,Polyscias sambucifolius (Sieber ex DC.) Harms,[],"[""elderberry panax"", ""elderberry ash""]",,,
PPAL,Populus alba L.,[],"[""white poplar""]",,,
PPAN,Populus angustifolia James,[],"[""narrowleaf cottonwood""]",,,
PPBA,Populus balsamifera L.,[],"[""balsam poplar""]",,,
PPCI,Populus ciliata Wall. ex Royle,[],"[""Himalayan poplar""]",,,
PPDE,Populus deltoides Bartr. ex Marsh.,[],"[""eastern cottonwood""]",,,
PPEU,Populus euphratica,[],[],,,
PPFA,Populus fastigiata,[],[],,,
PPFR,Populus fremontii Wats.,[],"[""Fremont cottonwood""]",,,
PPGR,Populus grandidentata Michx.,[],"[""bigtooth aspen""]",,,
PPNI,Populus nigra L.,[],"[""black poplar""]",,,
PPSI,Populus sieboldii Miq.,[],"[""Japanese aspen""]",,,
PPSP,Populus spp. L.,[],"[""cottonwood"", ""poplar""]",,,
PPTM,Populus tremula L.,[],"[""European aspen"", ""quaking aspen""]",,,
PPTR,Populus tremuloides Michx.,[],"[""quaking aspen""]",,,
PPTC,Populus trichocarpa Torr. & Gray.,[],"[""black cottonwood""]",,,
PRMX,Premna maxima T.C.E. Fries,[],"[""muchichio""]",,,
PRLI,Presea lingue,[],"[""lingue""]",,,
PRMA,Previa maxima,[],[],,,
PRFL,Prosopis flexuosa DC,[],[],,,
PRGL,Prosopis glandulosa var. glandulosa Torr.,[],"[""honey mesquite""]",,,
PROS,Prosopis spp. L.,[],"[""mesquite""]",,,
PMAN,Prumnopitys andina,"[""Podocarpus andinus""]","[""lleuque""]",,,
PMFE,Prumnopitys ferreginea,[],[],,,
PMTA,Prumnopitys taxifolia,[],[],,,
PNAM,Prunus americana Marsh.,[],"[""American plum""]",,,
PNAV,Prunus avium L.,[],"[""wild cherry""]",,,
PNIL,Prunus ilicifolia (Nutt. ex Hook & Arn.) D. Dietr.,[],"[""hollyleaf cherry""]",,,
PNMA,Prunus mahaleb L.,[],[],,,
PNPE,Prunus pennsylvanica L.f.,[],"[""pin cherry""]",,,
PNSE,Prunus serotina Ehrh.,[],"[""black cherry""]",,,
PNSP,Prunus spinosa Ehrh.,[],[],,,
PSMU,Pseudobombax munguba,[],[],,,
PSSE,Pseudobombax septenatum (Jacq.) Dugand,[],[],,,
PSJA,Pseudotsuga japonica (Shirasawa) Beissn.,[],"[""Japanese Douglas-fir""]",,,
PSMA,Pseudotsuga macrocarpa (Vasey) Mayr,[],"[""bigcone Douglas-fir""]",,,
PSME,Pseudotsuga menziesii (Mirb.) Franco,[],"[""Douglas-fir""]",,,
PSSI,Pseudotsuga sinensis Dode,[],[],,,
PSAX,Pseudowintera axilarris,[],[],,,
PSCO,Pseudowintera colorata,[],[],,,
PSXA,Pseudoxandra polyphleba,[],[],,,
PTAN,Pterocarpus angolensis DC.,[],[],,,
PTRH,Pterocarya rhoifolia Sieb. & Zucc.,[],"[""Japanese wing nut""]",,,
PUSP,Purshia spp. DC. ex Poir.,[],[],,,
PUTR,Purshia tridentata (Pursh) DC.,[],"[""bitter brush""]",,,
QUAF,Quercus afares Pomel,[],[],,,
QUAL,Quercus alba L.,[],"[""white oak""]",,,
QUBI,Quercus bicolor Willd.,[],"[""swamp white oak""]",,,
QUBO,Quercus boissieri Reut.,[],[],,,
QUBN,Quercus boyntonii Beadle,[],"[""Boynton's sand post oak"", ""Boynton's oak""]",,,
QUBR,Quercus brantii Lindley,[],[],,,
QUCF,Quercus californica (Torr.) Cooper,"[""Quercus kelloggii Newb.""]",[],,,
QUCL,Quercus calliprinos,[],"[""Kermes oak""]",,,
QUCA,Quercus canariensis Willd.,[],"[""Mirbeck's oak"", ""Algerian oak""]",,,
QUCE,Quercus cerris L.,[],"[""Turkey oak"", ""Austrian oak""]",,,
QUCH,Quercus chrysolepis Liebm.,[],"[""Canyon oak"", ""Maul oak""]",,,
QUCO,Quercus coccinea Muenchh.,[],"[""scarlet oak""]",,,
QUCN,Quercus conferta Kit.,"[""Q.farnetto"", ""Quercus frainetto Ten""]",[],,,
QUCP,Quercus copeyensis,[],[],,,
QUCR,Quercus costaricensis,[],[],,,
QUDE,Quercus dentata Thunb.,[],"[""kashiwa oak"", ""Daimio oak""]",,,
QUDG,Quercus douglasii Hook. and Arn.,[],"[""blue oak""]",,,
QUDS,Quercus dschoruchensis K. Koch,[],[],,,
QUEL,Quercus ellipsoidalis E.J. Hill,[],"[""northern pin oak""]",,,
QUEM,Quercus emoryi Torr. in Emory,[],"[""Emory oak""]",,,
QUEN,Quercus engelmannii Greene,[],"[""Engelmann oak""]",,,
QUFG,Quercus faginea Lam.,[],"[""Portuguese oak""]",,,
QUFA,Quercus falcata Michx.,[],"[""southern red oak""]",,,
QUFR,Quercus frainetto Ten.,[],"[""Hungarian oak""]",,,
QUGA,Quercus gambelii Nutt.,[],"[""Gambel oak""]",,,
QUGY,Quercus garryana Dougl. ex Hook,[],"[""Oregon white oak""]",,,
QUGR,Quercus grisea Liebm.,[],"[""gray oak""]",,,
QUHA,Quercus hartwissiana Steven,[],[],,,
QUIL,Quercus ilex L.,[],"[""holm oak"", ""holly oak""]",,,
QUIT,Quercus ithaburensis (Decne.) Boiss.,[],"[""Mt. Tabor oak""]",,,
QUKE,Quercus kelloggii Newb.,[],"[""California black oak""]",,,
QULA,Quercus laurifolia Michx.,[],"[""laurel oak""]",,,
QULO,Quercus lobata Née,[],"[""valley oak""]",,,
QULU,Quercus lusitanica Lam.,[],"[""oak""]",,,
QULY,Quercus lyrata Walter,[],"[""overcup oak""]",,,
QUMA,Quercus macrocarpa Michx.,[],"[""burr oak""]",,,
QUMC,Quercus macrolepis Kotschy,[],"[""Valonia oak""]",,,
QUML,Quercus marilandica Muenchh.,[],"[""blackjack oak""]",,,
QUMI,Quercus michauxii Walt.,[],"[""swamp chestnut oak""]",,,
QUMO,Quercus mongolica Fisch. ex Turcz.,[],"[""Mongolian oak""]",,,
QUGS,Quercus mongolica var. grosseserrata (Bulme) Rehd. &  Wils.,[],"[""mizunara oak""]",,,
QUMU,Quercus muehlenbergii Engelm.,[],"[""chinkapin oak""]",,,
QUNI,Quercus nigra L.,[],"[""water oak""]",,,
QUPA,Quercus palustris Muenchh.,[],"[""pin oak""]",,,
QUPS,Quercus persica,"[""Quercus brantii""]",[],,,
QUPE,Quercus petraea (Matt.) Liebl.,"[""Quercus sessiliflora Salisb.""]","[""durmast oak"", ""sessile oak""]",angiosperm,deciduous,ring-porous
QUPO,Quercus pontica K. Koch,[],"[""Armenian oak""]",,,
QUPR,Quercus prinus L.,[],"[""chestnut oak""]",,,
QUPU,Quercus pubescens Willd.,[],"[""downy oak"", ""durmast oak""]",angiosperm,deciduous,ring-porous
QUPY,Quercus pyrenaica Willd.,[],"[""Pyrenean oak""]",angiosperm,deciduous,ring-porous
QURO,Quercus robur L.,"[""Quercus pendunculata Ehrl.""]","[""English oak""]",angiosperm,deciduous,ring-porous
QURU,Quercus rubra L.,[],"[""red oak""]",angiosperm,deciduous,ring-porous
QUSH,Quercus shumardii Buckl.,[],"[""Shumard oak""]",,,
QUSP,Quercus spp. L.,[],"[""oak""]",,,
QUST,Quercus stellata Wangenh.,[],"[""post oak""]",,,
QUSU,Quercus suber L.,[],"[""cork oak"", ""cork tree""]",,,
QUVE,Quercus velutina Lam.,[],"[""black oak""]",,,
QUAC,Quintina acutifolia,[],[],,,
RAGU,Rapanea guianensis Aubl.,[],"[""guiana quintinia""]",,,
RESP,Recordoxylon speciosum Normand & Mariaux,[],"[""wacapou guitin""]",,,
RHCA,Rhamnus caroliniana Walt.,[],"[""Carolina buckthorn""]",,,
RHCT,Rhamnus cathartica L.,[],[],,,
RHCR,Rhamnus crocea Nutt.,[],"[""hollyleaf buckthorn""]",,,
RHOV,Rhus ovata Wats.,[],"[""sugar sumac""]",,,
RONE,Robinia neomexicana Gray,[],"[""New Mexico locust""]",,,
ROPS,Robinia pseudoacacia L.,[],"[""black locust""]",,,
SBPI,Sabina pingu,[],[],,,
SBRE,Sabina recurva,[],[],,,
SBSA,Sabina saltuaria,[],[],,,
SBTI,Sabina tibetica,[],[],,,
SBWA,Sabina wallichiana,[],[],,,
SAAC,Salix acutifolia,[],[],,,
SAAL,Salix alba L.,[],"[""white willow""]",,,
SAAM,Salix amygdalina L.,[],"[""almond-leaved willow"", ""peachleaf willow""]",,,
SAAD,Salix amygdaloides Anderss.,[],"[""peachleaf willow""]",,,
SAAR,Salix arbusculoides Anderss.,[],"[""littletree willow""]",,,
SAAT,Salix arctica Pall.,[],"[""Arctic willow""]",,,
SABA,Salix babylonica L.,[],"[""weeping willow""]",,,
SACN,Salix candida Fluegge,[],"[""sage-leaf willow"", ""silver willow""]",,,
SACA,Salix caprea L.,[],"[""pussy willow"", ""goat willow""]",,,
SACR,Salix caroliniana Michx.,[],"[""Coastal Plain willow""]",,,
SADI,Salix discolor Muhl.,[],"[""pussy willow"", ""glaucous willow""]",,,
SAEL,Salix elaeagnos,[],[],,,
SAEX,Salix exigua Nutt.,[],"[""sandbar willow""]",,,
SAGL,Salix glauca L.,[],"[""grayleaf willow""]",,,
SAIN,Salix interior Rowlee,"[""Salix exigua Nutt.""]","[""sandbar willow""]",,,
SALA,Salix lanata L.,[],"[""Richardson's willow""]",,,
SALS,Salix lasiolepis Benth.,[],"[""arroyo willow"", ""white willow""]",,,
SAMY,Salix myrsinifolia Salisb.,[],[],,,
SAPH,Salix phylicifolia L.,[],"[""tea-leaf wilow""]",,,
SAPL,Salix planifolia,[],"[""sandbar willow""]",,,
SAPC,Salix pulchra Cham.,[],"[""Tealeaf Willow"", ""diamondleaf willow"", ""thin red willow""]",,,
SAPU,Salix purpurea,[],[],,,
SASP,Salix spp.,[],"[""willow""]",,,
SATR,Salix triandra,"[""Salix amygdalina L.""]",[],,,
SAVI,Salix viminalis,[],[],,,
SNAL,Santalum album L.,[],"[""sandalwood"", ""chandal"", ""santalin""]",,,
SSAL,Sassafras albinum (Nutt.) Nees,[],"[""sassafras""]",,,
SACO,Saxegothaea conspicua Lindl.,[],"[""Prince Albert's yew"", ""manio de hojas cortas"", ""manio hembra""]",,,
SCBR,Schinopsis brasiliensis Engl.,[],[],,,
SCTR,Schleichera trijuga Willd.,[],"[""ta-kro"", ""kusum"", ""kusamo""]",,,
SCMI,Schleronema micranthum Ducke.,[],[],,,
SCVE,Sciadopitys verticillata (Thunb.) Sieb. & Zucc.,[],"[""Japanese umbrella pine"", ""koyamaki pine""]",,,
SESE,Sequoia sempervirens (D. Don) Endl.,[],"[""coast redwood""]",,,
SEGI,Sequoiadendron giganteum (Lindl.) Buchholz,[],"[""giant sequoia""]",,,
SHRO,Shorea robusta Gaertn.f.,[],"[""sal""]",,,
SIAM,Simarouba amara Aubl.,[],"[""simarouba""]",,,
SOCH,Sophora chrysophylla (Salisb.) Seem.,[],[],,,
SOAM,Sorbus americana Marsh.,[],"[""mountain ash""]",,,
SOAR,Sorbus aria (L.) Crantz,[],"[""whitebeam""]",,,
SOAU,Sorbus aucuparia L. Rowan,[],"[""mountain ash""]",,,
SOTE,Sorbus torminalis (L.) Crantz,[],"[""chequer tree"", ""wild service tree""]",,,
SODU,Sorocea duckei,[],[],,,
STPS,Stuartia pseudocamelliad var. koreana (Rehd.) Sealy,[],"[""Korean stewartia""]",,,
SWLA,Swartzia laevicarpa,[],[],,,
SWMC,Swietenia macrophylla King,[],[],,,
SWMA,Swietenia mahagoni Jacq.,[],"[""West Indies mahogany""]",,,
SYGL,Symphonia globulifera L.F.,[],"[""manil""]",,,
TMCH,Tamarix chinensis Lour.,[],"[""tamarisk"", ""salt cedar""]",,,
TMJO,Tamarix jordanis,[],[],,,
TPGU,Tapirira guianensis,[],[],,,
TMAP,Taramix aphylla Lanza,[],"[""dur""]",,,
TMXE,Tasmannia xerophila M.Gray,[],[],,,
TAAS,Taxodium ascendens Brong.,[],"[""pond cypress""]",,,
TADI,Taxodium distichum (L.) Rich.,[],"[""baldcypress""]",,,
TAMU,Taxodium mucronatum Ten.,[],"[""Montezuma cypress""]",,,
TABA,Taxus baccata L.,[],"[""common yew"", ""English yew""]",,,
TACU,Taxus cuspidata Sieb. et Zucc.,[],"[""Japanese yew""]",,,
TEGR,Tectona grandis L. f.,[],"[""teak""]",,,
TEBR,Terminalia brownii,[],[],,,
TEGU,Terminalia guianensis Aubl.,[],[],,,
TETO,Terminalia tomentosa W. & A.,[],"[""Indian laurel"", ""taukkyan"", ""sain""]",,,
TESI,Tetracentron sinense Oliv.,[],[],,,
TEAR,Tetraclinis articulata (Vahl) Mast.,[],"[""Arar tree"", ""African thuya""]",,,
THOC,Thuja occidentalis L.,[],"[""northern white-cedar"", ""American arborvitae""]",,,
THOR,Thuja orientalis L.,[],"[""Chinese arborvitae"", ""Oriental arborvitae""]",,,
THPL,Thuja plicata Donn ex D. Don,[],"[""western redcedar"", ""giant arborvitae""]",,,
THSP,Thuja spp. L.,[],"[""thuja""]",,,
THST,Thuja standishii (Gord.) Carr.,[],"[""kurobe arborvitae"", ""Japanese arborvitae""]",,,
THDO,Thujopsis dolabrata (L.f.) Sieb. & Zucc.,[],"[""hiba arborvitae""]",,,
THHO,Thujopsis dolabrata var. hondai Makino,[],"[""asunaro arborvitae""]",,,
TIAM,Tilia americana L.,[],"[""American basswood""]",,,
TICO,Tilia cordata Mill.,[],"[""littleleaf linden"", ""winter linden"", ""small-leaved lime""]",,,
TIPL,Tilia platyphyllos Scop.,[],"[""broad-leaved linden"", ""summer linden""]",,,
TISP,Tilia spp. L.,[],"[""linden"", ""lime tree""]",,,
TOCI,Toona ciliata,[],"[""Australian red cedar""]",,,
TOCA,Torreya californica Torrey,[],"[""California nutmeg""]",,,
TRSC,Triplochiton schleroxylon,[],[],,,
TRCO,Tristania conferta R.Br.,[],"[""Queensland box tree""]",,,
TSCA,Tsuga canadensis (L.) Carr.,[],"[""eastern hemlock""]",,,
TSCR,Tsuga caroliniana Engelm.,[],"[""Carolina hemlock""]",,,
TSCH,Tsuga chinensis (Franch.) Pritz.,[],"[""Chinese hemlock""]",,,
TSDI,Tsuga diversifolia (Maxim.) Mast.,[],"[""Japanese hemlock""]",,,
TSDU,Tsuga dumosa (D. Don) Eichler,[],"[""East Himalayan hemlock""]",,,
TSHE,Tsuga heterophylla (Raf.) Sarg.,[],"[""western hemlock""]",,,
TSME,Tsuga mertensiana (Bong.) Carrière,[],"[""mountain hemlock""]",,,
TSSI,Tsuga sieboldii Carr.,[],"[""southern japanese hemlock""]",,,
TSSP,Tsuga spp. (Endl.) Carr.,[],"[""hemlock""]",,,
ULCA,Ulmus caprinifolia G. Suckow,"[""Ulmus minor Mill.""]",[],,,
ULGL,Ulmus glabra Hudson,[],"[""Wych elm"", ""Scots elm"", ""mountain elm""]",,,
ULLA,Ulmus laevis Pall.,[],"[""European white elm""]",,,
ULMI,Ulmus minor Mill.,[],"[""smooth-leaved elm"", ""field elm"", ""common elm""]",,,
ULPU,Ulmus pumila L.,[],"[""Siberian elm""]",,,
ULRU,Ulmus rubra Muhl.,[],"[""slippery elm""]",,,
ULSP,Ulmus spp. L.,[],"[""elm""]",,,
ULWA,Ulmus wallichiana Planch.,[],"[""Himalayan elm""]",,,
UNKN,Unknown,[],[],,,
CONI,Various conifers,[],[],,,
MIXD,Various taxa,[],[],,,
VBLA,Vibernum lantana L.,[],[],,,
VIME,Virola melinonii A.C. Smith,[],"[""mountain yayamadou"", ""montagne yayamadou""]",,,
VIKE,Vitex keniensis Turr,[],"[""moru oak"", ""moru""]",,,
VOAM,Vouacapoua americana Aubl.,[],"[""wacapou""]",,,
WERA,Weinmannia racemosa,[],[],,,
WETR,Weinmannia trichosperma Cav.,[],"[""tineo"", ""tenio"", ""palo santo""]",,,
WICE,Widdringtonia cedarbergensis J.A. Marsh,[],"[""Clanwilliam cedar""]",,,
ZETU,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,[],[],,,
ZISP,Zizyphus spina-christi,[],"[""Judas tree"", ""Christ thorn""]",,,
ZYDU,Zygophyllum dumosum Boiss.,[],[],,,
ZYSP,Zygophyllum spp. L.,[],[],,,